our_best_perm,Wil_best_perm,rand_perm,nr_checks_our,nr_checks_Wil,nr_checks_rand,minimum_check_number
1,2,4,3,2,2,3,1
15,2,4,4,3,3,3,3
142,2,4,2,2,2,2,1
149,2,4,1,2,2,3,1
177,2,4,4,2,2,2,1
198,2,4,3,2,2,3,1
289,2,4,1,2,2,3,1
331,2,4,3,2,2,3,1
398,2,4,3,2,2,3,1
439,2,4,3,2,2,3,1
496,2,4,3,3,3,3,3
509,2,4,3,2,2,3,1
537,2,4,2,3,3,3,3
562,2,4,3,2,2,3,1
648,2,4,2,2,2,2,1
662,2,4,2,2,2,2,1
669,2,4,4,3,3,3,3
723,2,4,3,2,2,3,1
732,2,4,3,2,2,3,1
850,4,4,4,2,2,2,1
864,2,4,4,2,2,2,1
889,2,4,1,2,2,3,1
902,2,4,2,3,3,3,3
909,2,4,3,2,2,3,1
942,2,4,2,2,2,2,1
970,2,4,2,2,2,2,1
977,2,4,2,2,2,2,1
1104,2,4,4,2,2,2,1
1111,2,4,4,2,2,2,1
1132,2,4,3,2,2,3,1
1139,2,4,4,2,2,2,1
1153,2,4,2,2,2,2,1
1160,2,4,1,2,2,3,1
1174,2,4,1,2,2,3,1
1195,2,4,3,2,2,3,1
1202,2,4,2,3,3,3,3
1209,2,4,3,2,2,3,1
1223,2,4,3,2,2,3,1
1244,2,4,4,3,3,3,3
1262,2,4,4,2,2,2,1
1276,2,4,2,3,3,3,3
1301,2,4,1,2,2,3,1
1308,4,4,3,3,3,3,3
1315,2,4,4,2,2,2,1
1332,2,4,4,3,3,3,3
1337,4,4,3,3,3,3,3
1389,3,4,4,3,3,3,3
1435,2,4,4,3,3,3,3
1449,4,4,2,3,3,3,3
1555,4,4,4,3,3,3,3
1576,4,4,1,3,3,3,3
1611,4,4,3,1,1,1,1
1617,4,4,3,3,3,3,3
1640,4,4,1,2,2,3,1
1654,4,4,4,3,3,3,3
1705,4,4,2,3,3,3,3
1712,4,4,1,2,2,3,1
1750,4,4,2,3,3,3,3
1764,4,4,1,3,3,3,3
1838,4,4,2,3,3,3,3
1873,4,4,3,2,2,3,1
1880,4,4,3,2,2,3,1
1922,4,4,4,2,2,2,1
1929,4,4,4,3,3,3,3
1956,4,4,2,3,3,3,3
1988,4,4,4,2,2,2,1
1995,4,4,1,2,2,3,1
2016,4,4,2,2,2,2,1
2058,4,4,1,3,3,3,3
2065,4,4,2,3,3,3,3
2099,4,4,3,3,3,3,3
2127,4,4,2,2,2,2,1
2134,4,4,1,1,1,2,1
2216,4,4,3,2,2,3,1
2230,4,4,4,3,3,3,3
2265,4,4,3,3,3,3,3
2293,4,4,1,3,3,3,3
2314,4,4,4,3,3,3,3
2342,2,4,4,3,3,3,3
2384,4,4,1,3,3,3,3
2405,4,4,2,3,3,3,3
2426,2,4,2,3,3,3,3
2476,4,4,2,2,2,2,1
2483,4,4,1,2,2,3,1
2518,4,4,3,2,2,3,1
2553,4,4,3,3,3,3,3
2560,4,4,3,2,2,3,1
2609,4,4,1,3,3,3,3
2637,4,4,1,3,3,3,3
2658,4,4,4,3,3,3,3
2672,4,4,3,3,3,3,3
2679,4,4,4,3,3,3,3
2728,4,4,4,3,3,3,3
2772,4,4,4,3,3,3,3
2879,4,4,4,2,2,2,1
2935,4,4,2,3,3,3,3
2972,1,4,1,3,2,3,1
2979,4,4,4,3,3,3,3
3014,4,4,1,3,3,3,3
3104,4,4,4,3,3,3,3
3111,4,4,2,2,2,2,1
3171,4,4,3,2,2,3,1
3192,4,4,1,2,2,3,1
3285,4,4,2,3,3,3,3
3492,4,4,4,3,3,3,3
3503,4,4,2,2,2,2,1
3545,4,4,2,2,2,2,1
3650,4,4,2,2,2,2,1
3761,4,4,3,3,3,3,3
3775,4,4,3,3,3,3,3
3826,4,4,4,3,3,3,3
3867,4,4,4,2,2,2,1
3930,4,4,2,3,3,3,3
3964,4,4,4,3,3,3,3
4047,4,4,2,3,3,3,3
4061,4,4,3,3,3,3,3
4068,4,4,4,2,2,2,1
4075,4,4,3,2,2,3,1
4173,4,4,4,2,2,2,1
4222,4,4,4,1,1,1,1
4288,4,4,2,2,2,2,1
4392,4,4,1,3,3,3,3
4420,4,4,3,2,2,3,1
4429,4,4,2,3,3,3,3
4443,4,4,4,3,3,3,3
4464,4,4,4,2,2,2,1
4510,4,4,4,3,3,3,3
4535,4,4,4,2,2,2,1
4542,4,4,4,2,2,2,1
4563,4,4,2,3,3,3,3
4590,4,4,1,2,2,3,1
4655,4,4,3,2,2,3,1
4719,4,4,3,3,3,3,3
4740,4,4,4,2,2,2,1
4754,4,4,2,3,3,3,3
4775,4,4,3,3,3,3,3
4810,4,4,1,3,3,3,3
4817,4,4,1,3,3,3,3
4831,4,4,1,3,3,3,3
4866,4,4,4,2,2,2,1
4873,4,4,4,2,2,2,1
4908,4,4,1,2,2,3,1
4917,4,4,3,2,2,3,1
4942,4,4,1,2,2,3,1
5079,4,4,2,2,2,2,1
5102,4,4,3,2,2,3,1
5156,4,4,2,2,2,2,1
5172,4,4,4,1,1,1,1
5178,4,4,1,3,3,3,3
5199,4,4,1,2,2,3,1
5266,4,4,2,3,3,3,3
5361,4,4,2,2,2,2,1
5382,4,4,2,3,3,3,3
5417,4,4,3,2,2,3,1
5431,4,4,3,2,2,3,1
5445,4,4,3,2,2,3,1
5459,4,4,3,2,2,3,1
5466,4,4,2,2,2,2,1
5473,4,4,1,3,3,3,3
5484,4,4,4,2,2,2,1
5491,4,4,2,2,2,2,1
5519,4,4,4,2,2,2,1
5554,4,4,4,2,2,2,1
5561,4,4,4,3,3,3,3
5586,4,4,4,2,2,2,1
5635,2,4,4,3,3,3,3
5656,4,4,1,2,2,3,1
5663,4,4,1,2,2,3,1
5677,4,4,2,2,2,2,1
5726,4,4,2,3,3,3,3
5853,4,4,4,2,2,2,1
5878,4,4,4,2,2,2,1
5892,4,4,1,2,2,3,1
5920,4,4,3,2,2,3,1
5952,4,4,4,2,2,2,1
6008,4,4,3,3,3,3,3
6070,4,4,2,2,2,2,1
6077,4,4,3,2,2,3,1
6084,4,4,4,2,2,2,1
6139,4,4,3,3,3,3,3
6164,4,4,1,3,3,3,3
6362,2,4,4,2,2,2,1
6433,4,4,1,2,2,3,1
6474,2,4,4,2,2,2,1
6509,2,4,2,2,2,2,1
6539,2,4,1,2,2,3,1
6553,4,4,4,2,2,2,1
6574,2,4,4,2,2,2,1
6595,2,4,4,3,3,3,3
6609,4,4,3,2,2,3,1
6648,2,4,4,2,2,2,1
6734,2,4,3,2,2,3,1
6873,2,4,3,2,2,3,1
6922,2,4,1,2,2,3,1
6936,4,4,1,2,2,3,1
7013,2,4,4,1,3,3,1
7031,2,4,2,2,2,2,1
7045,4,4,3,2,2,3,1
7087,2,4,2,2,2,2,1
7101,2,4,1,2,2,3,1
7159,2,4,4,2,2,2,1
7173,2,4,1,2,2,3,1
7180,2,4,4,2,2,2,1
7238,2,4,3,2,2,3,1
7304,4,4,1,2,2,3,1
7339,2,4,4,2,2,2,1
7383,2,4,3,2,2,3,1
7397,2,4,1,2,2,3,1
7411,2,4,3,2,2,3,1
7418,2,4,1,2,2,3,1
7496,2,4,1,2,2,3,1
7503,2,4,1,2,2,3,1
7552,2,4,2,2,2,2,1
7559,2,4,4,2,2,2,1
7608,2,4,2,2,2,2,1
7622,2,4,1,2,2,3,1
7691,4,4,1,2,2,3,1
7698,4,4,4,2,2,2,1
7785,4,4,4,2,2,2,1
7799,4,4,1,2,2,3,1
7806,4,4,3,2,2,3,1
7827,2,4,1,2,2,3,1
7834,4,4,4,2,2,2,1
7876,2,4,3,1,3,2,1
7931,2,4,3,2,2,3,1
8044,2,4,3,2,2,3,1
8065,2,4,1,2,2,3,1
8114,2,4,4,2,2,2,1
8128,2,4,2,3,3,3,3
8164,2,4,1,2,2,3,1
8220,2,4,3,2,2,3,1
8283,2,4,2,2,2,2,1
8290,2,4,1,2,2,3,1
8322,2,4,4,2,2,2,1
8347,2,4,1,2,2,3,1
8393,1,4,3,3,3,3,3
8458,2,4,3,2,2,3,1
8578,2,4,4,3,3,3,3
8664,2,4,3,3,3,3,3
8696,2,4,3,2,2,3,1
8714,4,4,3,2,2,3,1
8721,2,4,1,2,2,3,1
8772,2,4,3,1,3,2,1
8831,2,4,3,2,2,3,1
8877,2,4,1,2,2,3,1
8940,2,4,2,2,2,2,1
